iter	Passed	Remaining
688	2403	1084
689	2407	1081
690	2411	1078
691	2414	1074
692	2418	1071
693	2421	1067
694	2424	1063
695	2426	1060
696	2429	1056
697	2432	1052
698	2435	1048
699	2438	1045
700	2441	1041
701	2444	1037
702	2447	1033
703	2450	1030
704	2452	1026
705	2455	1022
706	2458	1018
707	2461	1015
708	2463	1011
709	2466	1007
710	2469	1003
711	2473	1000
712	2476	997
713	2480	993
714	2483	990
715	2487	986
716	2490	983
717	2494	979
718	2497	976
719	2500	972
720	2503	968
721	2506	965
722	2510	961
723	2514	958
724	2517	955
725	2521	951
726	2524	948
727	2528	944
728	2532	941
729	2536	938
730	2539	934
731	2543	931
732	2547	927
733	2551	924
734	2554	920
735	2557	917
736	2560	913
737	2563	910
738	2566	906
739	2569	902
740	2572	899
741	2575	895
742	2578	891
743	2581	888
744	2584	884
745	2587	880
746	2590	877
747	2593	873
748	2596	869
749	2598	866
750	2601	862
751	2605	859
752	2608	855
753	2611	851
754	2614	848
755	2617	844
756	2620	841
757	2623	837
758	2627	834
759	2630	830
760	2633	827
761	2637	823
762	2640	820
763	2643	816
764	2647	813
765	2649	809
766	2652	805
767	2655	802
768	2658	798
769	2661	794
770	2664	791
771	2667	787
772	2670	784
773	2673	780
774	2676	776
775	2679	773
776	2681	769
777	2684	766
778	2687	762
779	2690	758
780	2693	755
781	2696	751
782	2699	748
783	2701	744
784	2704	740
785	2707	737
786	2710	733
787	2713	729
788	2716	726
789	2718	722
790	2721	719
791	2724	715
792	2727	711
793	2730	708
794	2733	704
795	2736	701
796	2738	697
797	2741	694
798	2744	690
799	2747	686
800	2750	683
801	2753	679
802	2755	676
803	2759	672
804	2762	669
805	2764	665
806	2767	661
807	2770	658
808	2773	654
809	2776	651
810	2779	647
811	2781	644
812	2784	640
813	2787	636
814	2790	633
815	2793	630
816	2796	626
817	2799	622
818	2802	619
819	2805	615
820	2808	612
821	2811	608
822	2814	605
823	2817	601
824	2820	598
825	2822	594
826	2825	591
827	2828	587
828	2830	583
829	2833	580
830	2836	576
831	2839	573
832	2841	569
833	2844	566
834	2847	562
835	2850	559
836	2853	555
837	2856	552
838	2859	548
839	2862	545
840	2865	541
841	2868	538
842	2870	534
843	2873	531
844	2876	527
845	2880	524
846	2883	520
847	2886	517
848	2889	513
849	2892	510
850	2895	506
851	2898	503
852	2900	499
853	2903	496
854	2906	492
855	2909	489
856	2912	485
857	2914	482
858	2917	478
859	2920	475
860	2923	471
861	2925	468
862	2929	465
863	2932	461
864	2935	458
865	2938	454
866	2941	451
867	2944	447
868	2947	444
869	2950	440
870	2953	437
871	2955	433
872	2958	430
873	2961	426
874	2964	423
875	2967	420
876	2970	416
877	2973	413
878	2976	409
879	2978	406
880	2981	402
881	2984	399
882	2986	395
883	2989	392
884	2992	388
885	2995	385
886	2998	382
887	3001	378
888	3004	375
889	3007	371
890	3010	368
891	3013	364
892	3016	361
893	3018	357
894	3021	354
895	3024	351
896	3026	347
897	3029	344
898	3032	340
899	3035	337
900	3038	333
901	3040	330
902	3043	326
903	3046	323
904	3049	320
905	3052	316
906	3055	313
907	3058	309
908	3062	306
909	3065	303
910	3068	299
911	3071	296
912	3074	292
913	3077	289
914	3080	286
915	3083	282
916	3085	279
917	3088	275
918	3091	272
919	3094	269
920	3097	265
921	3099	262
922	3102	258
923	3105	255
924	3107	251
925	3110	248
926	3113	245
927	3117	241
928	3120	238
929	3123	235
930	3126	231
931	3129	228
932	3131	224
933	3134	221
934	3137	218
935	3139	214
936	3142	211
937	3145	207
938	3148	204
939	3150	201
940	3153	197
941	3156	194
942	3159	190
943	3162	187
944	3165	184
945	3167	180
946	3170	177
947	3173	174
948	3176	170
949	3179	167
950	3182	163
951	3185	160
952	3189	157
953	3192	153
954	3194	150
955	3197	147
956	3200	143
957	3203	140
958	3206	137
959	3209	133
960	3212	130
961	3214	126
962	3217	123
963	3220	120
964	3223	116
965	3225	113
966	3228	110
967	3231	106
968	3234	103
969	3237	100
970	3240	96
971	3242	93
972	3245	90
973	3248	86
974	3251	83
975	3254	80
976	3257	76
977	3260	73
978	3263	70
979	3267	66
980	3271	63
981	3274	60
982	3278	56
983	3282	53
984	3285	50
985	3289	46
986	3292	43
987	3295	40
988	3298	36
989	3301	33
990	3304	30
991	3307	26
992	3311	23
993	3315	20
994	3318	16
995	3321	13
996	3325	10
997	3328	6
998	3332	3
999	3335	0
